Date,Forecast,Lower,Upper
1959-01-01,369.10746527078476,351.17486269026284,386.47387627697213
1959-02-01,359.18744872045255,342.77231076671967,378.2382572711254
1959-03-01,406.63849022611345,389.7820844398587,425.41238939830527
1959-04-01,395.5235685880749,377.30886340898843,412.675209812446
1959-05-01,404.8691033666592,386.68112573506664,422.31652177504003
1959-06-01,463.97475882331685,446.8634641163124,481.42400092543465
1959-07-01,528.6314746693243,509.6037270019878,545.9544945288568
1959-08-01,519.8138106659552,500.98846296151874,538.15871322503
1959-09-01,446.5400109258278,428.6414176826515,465.28609905615525
1959-10-01,390.76844431799987,372.0019105491616,409.3050985080958
1959-11-01,336.4175856685357,319.9308510332372,354.97486955804686
1959-12-01,379.1496310860973,361.4951001321745,395.87379152929583
1960-01-01,396.6545512106274,378.00589527266186,414.0567780419828
1960-02-01,389.19816594063576,370.896000109504,407.05381676668685
1960-03-01,444.80808880651153,426.1315708037418,464.24747525848045
1960-04-01,430.773560354238,412.5840347688926,449.5251491749413
1960-05-01,431.56659944006196,410.64982068063637,450.5009679655606
1960-06-01,505.2115343999653,487.0055828860454,523.6831686006819
1960-07-01,548.9137196389689,529.8259470482452,569.156569896986
1960-08-01,554.2026890045414,532.8418672077372,574.5728944809437
1960-09-01,477.2982333770048,457.50841562426024,496.48620692675223
1960-10-01,415.77111599236315,397.8499988831919,434.8387144505111
1960-11-01,366.8950814116928,345.6890292858548,386.9915406315804
1960-12-01,407.69993949408934,386.1159347132935,428.8668194443964
