Date,Forecast,Lower,Upper
1959-01-01,336.9283920717679,293.0904705887114,380.7663135548244
1959-02-01,348.7403230510711,293.1986423094677,404.28200379267446
1959-03-01,368.3774967543858,308.93909711510554,427.81589639366604
1959-04-01,390.2050591775551,330.1536336942554,450.25648466085477
1959-05-01,408.5661682596918,348.51229323706116,468.6200432823224
1959-06-01,419.19716522115397,358.98955722528615,479.4047732170218
1959-07-01,420.1628193699623,359.9221653618185,480.40347337810607
1959-08-01,412.1227459341792,351.7192492037292,472.5262426646292
1959-09-01,397.92478068582994,335.9106757118556,459.93888565980427
1959-10-01,381.68961937862025,315.34939488869156,448.02984386854894
1959-11-01,367.66280185437876,294.56312107903074,440.7624826297268
1959-12-01,359.1425081514317,278.56391918434133,439.72109711852204
1960-01-01,357.74394532754724,270.76817960443844,444.71971105065603
1960-02-01,363.1527153349205,271.80767765626,454.497753013581
1960-03-01,373.3831998160047,279.6617994865924,467.10460014541707
1960-04-01,385.430346040855,290.6918503531565,480.1688417285535
1960-05-01,396.11536659464,301.01168910084476,491.2190440884353
1960-06-01,402.89601720690285,307.6258131061947,498.166221307611
1960-07-01,404.4423406241387,308.9718685474129,499.9128127008645
1960-08-01,400.8559107126473,304.9083524880093,496.8034689372853
1960-09-01,393.51103495037637,296.45371604371593,490.5683538570368
1960-10-01,384.59281889628636,285.4994889801767,483.686148812396
1960-11-01,376.4757411287522,274.4599538405952,478.4915284169092
1960-12-01,371.11284030708737,265.7233539382356,476.5023266759391
